Gender,Percent_SSC,Percent_HSC,Percent_Degree,Experience_Yrs,S-TEST,Percentile_ET,S-TEST*SCORE,Percent_MBA,Marks_Communication,Marks_Projectwork,Marks_BOCA,Stream_HSC_Arts,Stream_HSC_Commerce,Stream_HSC_Science,Board_SSC_CBSE,Board_SSC_ICSE,Board_SSC_Others,Board_HSC_CBSE,Board_HSC_ISC,Board_HSC_Others,Course_Degree_Arts,Course_Degree_Commerce,Course_Degree_Computer Applications,Course_Degree_Engineering,Course_Degree_Management,Course_Degree_Others,Course_Degree_Science,Specialization_MBA_Marketing & Finance,Specialization_MBA_Marketing & HR,Specialization_MBA_Marketing & IB
0,64,57,65,1,1,67,67,62.35,56,67,52,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
1,79,59,60,1,1,67,67,62.14,54,78,62,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
0,82,87,80,0,1,92,92,68.03,76,69,74,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
0,74,68,79,1,1,89,89,69.7,68,77,76,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
1,78,47,53,0,1,84,84,56.12,60,66,68,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
1,66,46,65,0,1,0,0,54.65,53,60,65,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
0,49,52.2,85,0,1,74.28,74.28,53.29,50,65,74,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
1,49,55,57,1,1,49,49,58.56,50,59,55,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
1,70,75,71,1,1,85,85,65.83,63,64,79,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1,75.9,70,73,1,1,58.1,58.1,75.71,70,74,71,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
0,76,56,73.5,1,1,70,70,68.2,55,76,61,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
0,80.32,55,50,0,1,0,0,62.29,67,70,76,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
0,53.44,70,70,0,1,14.99,14.99,57.98,56,77,61,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
0,71,52,65,0,1,78,78,65.56,66,84,77,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1,60,65,67,1,0,0,0,55.4,50,67,50,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
1,72.64,47.34,83.33,0,1,73,73,65.8,72,75,78,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
