Gender,Percent_SSC,Percent_HSC,Percent_Degree,Experience_Yrs,Board_HSC_CBSE,Board_HSC_ISC,Board_HSC_Others,Specialization_MBA_Marketing & Finance,Specialization_MBA_Marketing & HR,Specialization_MBA_Marketing & IB,Stream_HSC_Arts,Stream_HSC_Commerce,Stream_HSC_Science,Board_SSC_CBSE,Board_SSC_ICSE,Board_SSC_Others,Course_Degree_Arts,Course_Degree_Commerce,Course_Degree_Computer Applications,Course_Degree_Engineering,Course_Degree_Management,Course_Degree_Others,Course_Degree_Science
0,1.419363093,-0.750098671,-1.44460866,-0.739084236,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
0,-0.988178993,0.553413211,0.739487708,-0.739084236,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
0,0.584605197,-1.010801047,0.193463616,-0.739084236,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1,-0.400624079,0.118909251,0.411873253,0.719634651,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
1,0.731493926,-1.415758739,2.195187938,-0.739084236,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
0,-1.475419654,-0.141793126,-0.134150839,0.719634651,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,1.748967069,0.727214796,1.613126255,-0.739084236,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
0,1.274265691,0.640314004,-1.553813478,-0.739084236,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
1,2.035579223,0.336161231,-0.318706982,0.719634651,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1.838533367,0.292710835,1.394716619,-0.739084236,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
1,1.211569282,-1.010801047,0.302668435,0.719634651,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
0,-0.400624079,-0.576297087,-0.352560476,-0.739084236,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1,-0.311057781,-1.010801047,-1.44460866,0.719634651,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
1,-0.848455569,-0.21131376,-0.396242403,0.719634651,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,-1.117154462,-0.402495502,-2.755066481,0.719634651,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
1,-1.296287058,-0.923900255,-0.898584568,-0.739084236,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,-0.490190377,2.291429055,0.411873253,-0.739084236,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
0,0.286349425,0.987917172,0.499237108,-0.739084236,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
1,-0.436450598,1.49454879,0.490500722,-0.739084236,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
1,-1.000718275,-0.532846691,-0.385321921,-0.739084236,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,-0.989074656,0.112826195,-1.116994205,0.719634651,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,0.02929415,-0.941280414,0.54619518,-0.739084236,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
1,-0.848455569,0.032008458,-1.44460866,-0.739084236,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
1,-0.758889271,-0.576297087,-0.461765294,-0.739084236,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
1,0.405472602,-1.09770184,0.63028289,0.719634651,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,1.498181435,0.066768775,-0.461765294,0.719634651,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
0,-1.314200317,-1.080321681,-1.857402874,2.178353538,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
1,0.584605197,-1.09770184,1.176306982,0.719634651,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
1,-0.579756675,-0.836999463,0.084258798,-0.739084236,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
